safegraph_place_id,raw_visit_counts,raw_visitor_counts,visits_by_day,popularity_by_hour,popularity_by_day
sg:45cd0fb8cf7942088a62fd4196946cd7,52,17,"[0,0,1,1,0,0,5,0,1,2,1,4,2,1,7,3,4,3,0,0,1,0,1,1,2,3,2,4,0,1,2]","[9,10,10,10,10,10,10,11,11,9,11,11,10,11,12,7,14,13,10,9,9,11,10,9]","{""Monday"":6,""Tuesday"":10,""Wednesday"":7,""Thursday"":7,""Friday"":4,""Saturday"":11,""Sunday"":7}"
sg:f428ee015c7f43dc8841a1435e816365,69,43,"[4,1,13,1,1,7,0,2,2,1,0,1,4,1,1,1,6,2,1,1,0,2,3,2,2,5,0,0,2,2,1]","[2,2,2,2,2,2,2,2,7,11,7,12,11,6,5,9,10,10,17,13,13,7,2,2]","{""Monday"":9,""Tuesday"":23,""Wednesday"":5,""Thursday"":8,""Friday"":12,""Saturday"":1,""Sunday"":11}"
sg:930971fe25854f25a647f94983b0059b,77,46,"[1,1,4,3,5,6,1,0,4,7,3,4,4,5,1,4,3,0,2,6,1,3,2,2,1,1,1,1,0,0,1]","[11,8,6,8,8,6,9,7,12,18,20,22,19,16,16,10,9,6,7,6,10,11,15,15]","{""Monday"":11,""Tuesday"":17,""Wednesday"":7,""Thursday"":12,""Friday"":17,""Saturday"":8,""Sunday"":5}"
sg:cde07f88360c4b4d9de2697d31781111,70,34,"[2,1,2,1,3,5,4,1,2,0,0,1,6,6,3,8,4,5,3,2,0,2,0,0,1,0,2,1,3,0,2]","[14,14,13,13,13,13,16,15,15,15,13,18,17,16,13,15,13,18,19,12,14,14,15,13]","{""Monday"":11,""Tuesday"":8,""Wednesday"":7,""Thursday"":7,""Friday"":15,""Saturday"":14,""Sunday"":8}"
sg:f78be58da4c24d0880a0a0c39f4612a9,15,12,"[2,0,0,0,1,1,3,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,2,0,0,0]","[1,1,0,0,0,0,0,0,0,0,1,0,2,2,2,4,2,1,4,1,2,2,1,1]","{""Monday"":0,""Tuesday"":1,""Wednesday"":1,""Thursday"":4,""Friday"":2,""Saturday"":5,""Sunday"":2}"
sg:7fa878dd6ceb4c3c9f357a11aa97c69e,46,42,"[3,1,4,1,2,13,8,3,4,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0]","[3,3,0,0,0,0,0,0,0,3,4,6,8,10,8,9,9,14,7,6,13,12,11,5]","{""Monday"":5,""Tuesday"":4,""Wednesday"":3,""Thursday"":2,""Friday"":14,""Saturday"":11,""Sunday"":7}"
sg:db08265b3bdf4bfab4f7094184c1899f,39,36,"[0,1,3,1,2,0,3,2,0,3,2,3,1,2,0,2,1,1,1,1,1,0,1,1,0,1,1,1,2,1,1]","[0,0,0,0,0,0,0,0,2,0,5,4,4,11,8,11,6,1,4,2,0,0,1,1]","{""Monday"":5,""Tuesday"":9,""Wednesday"":4,""Thursday"":7,""Friday"":3,""Saturday"":7,""Sunday"":4}"
sg:f5870b4ae1d649e8aca7924bad97a0f7,637,547,"[68,21,14,24,27,61,106,60,17,20,13,19,44,65,34,2,0,0,0,1,0,0,0,0,0,0,0,0,41,0,0]","[38,6,2,1,0,0,0,0,8,17,22,60,74,95,118,116,153,161,150,157,180,203,133,80]","{""Monday"":40,""Tuesday"":34,""Wednesday"":37,""Thursday"":46,""Friday"":106,""Saturday"":210,""Sunday"":164}"
sg:f05d99cc252e4bb0b80f05042e9be14b,41,20,"[0,2,2,3,0,1,1,1,1,2,1,1,4,0,0,4,3,1,1,0,0,3,3,1,0,1,1,1,1,2,0]","[4,4,4,4,6,7,5,9,6,7,9,8,7,6,7,7,10,16,5,8,3,7,5,5]","{""Monday"":12,""Tuesday"":8,""Wednesday"":5,""Thursday"":3,""Friday"":6,""Saturday"":2,""Sunday"":5}"
sg:2f761fe208e24478b2ea24a4dd068209,27,27,"[2,0,0,0,0,5,1,1,2,0,0,0,0,0,5,1,0,1,0,0,1,3,0,0,0,0,0,1,0,4,0]","[1,1,1,1,0,0,0,1,0,1,2,1,5,1,6,6,6,1,1,0,0,1,0,1]","{""Monday"":7,""Tuesday"":0,""Wednesday"":1,""Thursday"":0,""Friday"":5,""Saturday"":3,""Sunday"":11}"
