"safegraph_place_id","location_name","street_address","city","region","postal_code","brands","date_range_start","date_range_end","raw_visit_counts","raw_visitor_counts","visits_by_day","visitor_home_cbgs","visitor_work_cbgs","visitor_country_of_origin","distance_from_home","median_dwell","bucketed_dwell_times","related_same_day_brand","related_same_month_brand","popularity_by_hour","popularity_by_day","device_type","iso_country_code"
sg:bf4c66dac13648deb6029dc4b586ce56,Thornburg and Company,1744 Washington St,Holland,MI,49424,,1580515200,1583020800,11,8,"[0,1,0,2,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0]",{},{},"{""US"":5}",7065,103.0,"{""<5"":0,""5-20"":3,""21-60"":1,""61-240"":5,"">240"":2}",{},"{""J&H"":37,""Meijer"":37,""Target"":31,""Tim Hortons"":25,""KFC"":23,""Goodwill Industries"":23,""Johnstone Supply"":12,""Family Fare"":12,""U-Haul"":12,""Snap Fitness"":12,""Checkers Drive-In Restaurants"":12,""Days Inn"":12,""Staples"":12,""Menard's"":12,""Ace Hardware"":12,""Tractor Supply Co."":12,""Five Below"":12,""Culver's"":12,""Pilot Flying J"":11,""ALDI"":11}","[2,1,1,1,0,0,0,0,1,3,2,4,2,3,3,2,2,3,1,1,1,1,1,2]","{""Monday"":1,""Tuesday"":2,""Wednesday"":1,""Thursday"":0,""Friday"":2,""Saturday"":2,""Sunday"":3}","{""android"":0,""ios"":0}",US
sg:fbd3cae8ca294e408b123c2e36608391,Pages Bookshop,19560 Grand River Ave,Detroit,MI,48223,,1580515200,1583020800,139,106,"[3,8,3,2,5,1,1,7,4,2,12,6,2,3,7,4,6,5,2,6,3,6,5,4,6,3,6,4,11]","{""261635434002"":5}",{},"{""US"":101}",6660,21.0,"{""<5"":7,""5-20"":57,""21-60"":46,""61-240"":18,"">240"":11}","{""Burger King"":19}","{""Mobil"":32,""Family Dollar Stores"":31,""Kroger"":31,""McDonald's"":30,""BP"":28,""Marathon"":27,""Meijer"":26,""Sunoco"":25,""Subway"":21,""CITGO"":21,""Dollar Tree"":19,""Burger King"":19,""CVS"":17,""Wendy's"":16,""Starbucks"":14,""White Castle"":14,""ALDI"":14,""Walmart"":13,""Little Caesars"":13,""Popeyes Louisiana Kitchen"":12}","[8,12,8,6,4,3,3,5,9,10,11,18,22,18,23,20,20,20,15,15,13,7,9,7]","{""Monday"":15,""Tuesday"":25,""Wednesday"":16,""Thursday"":15,""Friday"":13,""Saturday"":34,""Sunday"":21}","{""android"":69,""ios"":37}",US
sg:19b62eed8eb74418b807490c09cc3fb8,Mt Pleasant Discovery Museum,5093 E Remus Rd,Mt Pleasant,MI,48858,,1580515200,1583020800,168,145,"[8,7,10,2,2,4,4,12,9,1,1,4,0,7,22,13,4,4,3,3,3,9,4,6,1,2,5,4,12]","{""260730007001"":6,""260739406002"":5,""260739404001"":5}","{""260730007002"":6,""260730009002"":5}","{""US"":144}",24688,70.0,"{""<5"":4,""5-20"":44,""21-60"":26,""61-240"":80,"">240"":14}","{""Burger King"":24,""SpringHill Suites by Marriott"":14,""Dollar General"":11,""McDonald's"":9}","{""Meijer"":61,""McDonald's"":41,""Walmart"":38,""Shell Oil"":32,""Speedway"":31,""Taco Bell"":26,""Marathon"":26,""Applebee's"":23,""Culver's"":22,""Target"":20,""Biggby Coffee"":19,""Starbucks"":17,""Walgreens"":16,""Celebration! Cinema"":16,""Mobil"":15,""Subway"":15,""Dollar Tree"":15,""Sam's Club"":14,""Burger King"":14,""Kohl's"":14}","[11,11,11,7,3,4,3,1,1,7,19,33,41,53,43,46,35,36,14,6,7,6,8,10]","{""Monday"":21,""Tuesday"":8,""Wednesday"":11,""Thursday"":12,""Friday"":20,""Saturday"":63,""Sunday"":33}","{""android"":78,""ios"":67}",US
sg:136fe3b05dd543239456a3593aed16a7,Curtis Museum,14022 W McNichols Rd,Detroit,MI,48235,,1580515200,1583020800,146,83,"[5,8,4,3,5,4,8,4,5,1,6,5,2,6,6,1,3,3,4,9,8,8,7,7,2,6,2,6,5]","{""261635395002"":8}",{},"{""US"":77}",6144,16.5,"{""<5"":4,""5-20"":75,""21-60"":27,""61-240"":25,"">240"":15}","{""Valero Energy"":20,""McDonald's"":16,""Subway"":13,""Dollar Tree"":11}","{""BP"":38,""Subway"":28,""Family Dollar Stores"":27,""Marathon"":26,""Mobil"":26,""Meijer"":24,""Sunoco"":23,""Kroger"":22,""McDonald's"":21,""CVS"":20,""Dollar Tree"":17,""White Castle"":17,""Sam's Club"":16,""Valero Energy"":15,""Wendy's"":15,""Walmart"":15,""Burger King"":14,""Popeyes Louisiana Kitchen"":14,""KFC"":14,""CITGO"":14}","[23,15,10,9,10,11,12,16,14,14,19,24,18,20,16,24,23,23,21,22,22,19,21,20]","{""Monday"":15,""Tuesday"":14,""Wednesday"":20,""Thursday"":17,""Friday"":31,""Saturday"":28,""Sunday"":21}","{""android"":65,""ios"":18}",US
sg:85ebe6262184491abbb0cb3e3ecbd2f7,Book Mark,201 S Rath Ave,Ludington,MI,49431,,1580515200,1583020800,360,161,"[20,15,15,13,12,19,12,12,9,11,10,6,12,20,12,6,4,12,14,12,12,9,8,12,15,20,10,16,9]","{""261059503001"":16,""261059506003"":10,""261059505001"":9,""261059505003"":8,""261059504002"":7,""261059506001"":7,""261059503003"":6,""261059502003"":6,""261059504001"":6,""261059505002"":5}","{""261059504005"":9,""261059505001"":5}","{""US"":154}",7048,28.0,"{""<5"":10,""5-20"":146,""21-60"":81,""61-240"":102,"">240"":21}","{""Red Robin Gourmet Burgers"":17,""Lowe's"":16,""Pizza Hut"":11,""Marathon"":8,""Buick"":7,""CrossFit"":6,""Meijer"":5}","{""Meijer"":57,""Wesco Convenience Store"":38,""Walmart"":34,""McDonald's"":29,""Applebee's"":24,""Dollar Tree"":23,""Marathon"":23,""CrossFit"":19,""Hungry Howie's Pizza & Subs"":18,""Walgreens"":18,""Goodwill Industries"":16,""Wendy's"":16,""Dunham's Sports"":14,""The Home Depot"":13,""Biggby Coffee"":13,""Lowe's"":12,""Burger King"":12,""United States Postal Service (USPS)"":12,""KFC"":11,""ALDI"":11}","[8,8,7,8,8,8,16,43,52,63,71,72,71,60,53,57,55,35,18,13,9,11,11,11]","{""Monday"":42,""Tuesday"":50,""Wednesday"":52,""Thursday"":53,""Friday"":63,""Saturday"":62,""Sunday"":38}","{""android"":101,""ios"":60}",US
sg:d993d9e9c60f474b8c351a7450b36969,Bakery Plus,715 Haley St,Midland,MI,48640,,1580515200,1583020800,47,11,"[5,3,0,5,0,0,0,0,1,2,4,4,2,0,0,0,2,4,1,1,1,0,1,1,5,0,0,1,0]","{""261112901004"":6}",{},"{""US"":9}",101,85.0,"{""<5"":0,""5-20"":6,""21-60"":11,""61-240"":19,"">240"":11}","{""Culver's"":100}","{""Dunham's Sports"":18,""Bob Evans"":18,""Menard's"":17,""Meijer"":17,""Five Below"":17,""Culver's"":17,""O'Reilly Auto Parts"":17,""Cracker Barrel"":17,""ALDI"":17,""Marathon"":17,""Speedway"":16,""Kohl's"":16,""Dairy Queen"":16,""Kroger"":16,""Sam's Club"":15,""Lowe's"":15,""Wendy's"":14,""Dollar Tree"":13,""Subway"":12,""Target"":12}","[10,9,10,9,10,10,10,9,8,9,9,6,6,8,6,8,14,16,15,13,12,10,10,11]","{""Monday"":5,""Tuesday"":18,""Wednesday"":5,""Thursday"":3,""Friday"":6,""Saturday"":5,""Sunday"":5}","{""android"":10,""ios"":0}",US
sg:3edb8dd2b03f40aa98f2ce137f380db1,Golden Sabaya,14645 Tireman Ave,Dearborn,MI,48126,,1580515200,1583020800,67,26,"[2,2,1,5,4,2,2,1,3,4,3,1,0,9,4,2,0,5,1,4,1,1,1,1,1,1,3,1,0]",{},{},"{""US"":22}",2410,91.0,"{""<5"":2,""5-20"":10,""21-60"":15,""61-240"":24,"">240"":16}",{},"{""Tim Hortons"":23,""BP"":20,""Dollar General"":14,""Kroger"":13,""Jet's Pizza"":11,""Burlington"":11,""Macy's"":10,""Marathon"":10,""Target"":9,""Red Lobster"":7,""Best Buy"":7,""Meijer"":7,""Little Caesars"":6,""Mobil"":6,""Walgreens"":6,""Sunoco"":6,""Valero Energy"":6,""Dairy Queen"":6,""Walmart"":5,""Family Dollar Stores"":5}","[9,2,2,2,3,3,2,2,2,6,6,3,4,3,4,5,7,14,16,22,29,29,26,19]","{""Monday"":6,""Tuesday"":14,""Wednesday"":7,""Thursday"":9,""Friday"":15,""Saturday"":8,""Sunday"":8}","{""android"":16,""ios"":10}",US
sg:94a4ff770c51446d8c9101a067f14743,Weldon's Pasties,19161 Merriman Rd,Livonia,MI,48152,,1580515200,1583020800,100,54,"[4,1,2,3,1,2,3,7,5,1,4,2,2,3,7,0,2,6,3,8,5,8,1,2,2,5,7,2,2]",{},{},"{""US"":52}",8041,33.5,"{""<5"":2,""5-20"":35,""21-60"":23,""61-240"":32,"">240"":8}","{""Residence Inn by Marriott"":50}","{""Meijer"":38,""McDonald's"":36,""Kroger"":35,""Speedway"":31,""Costco Wholesale Corp."":30,""Tim Hortons"":27,""Dollar Tree"":25,""CVS"":24,""Little Caesars"":21,""Sunoco"":21,""Walgreens"":21,""Mobil"":19,""Kohl's"":18,""Arby's"":17,""Leo's Coney Island"":17,""BP"":16,""Hallmark Cards"":16,""Target"":16,""Burger King"":15,""Wendy's"":14}","[0,0,0,0,2,1,0,1,8,14,18,19,17,19,22,20,23,23,16,8,7,3,1,0]","{""Monday"":7,""Tuesday"":15,""Wednesday"":11,""Thursday"":19,""Friday"":13,""Saturday"":28,""Sunday"":7}","{""android"":34,""ios"":20}",US
sg:e0512c8d2beb48c2bc952c186f603099,Comic City,7366 Haggerty Rd,Novi,MI,48377,,1580515200,1583020800,624,468,"[17,12,14,14,15,18,19,33,14,18,18,14,13,34,27,30,20,22,23,28,27,38,34,23,17,14,12,22,27]","{""261251574001"":16,""261251572002"":14,""261251368001"":11,""261251565002"":11,""261251573001"":10,""261251352001"":10,""261251345002"":8,""261251561002"":6,""261251360002"":6,""261251569002"":6,""261251678003"":6,""261251664002"":5,""261251562003"":5,""261251573003"":5,""261251361011"":5,""261251349003"":5,""261251577001"":5,""261251361012"":5,""261251679002"":5,""261251562004"":5,""261251346001"":5,""261251348001"":5}","{""261251564002"":9,""261251345001"":9,""261251687001"":8,""261251661002"":6}","{""US"":463}",6686,14.5,"{""<5"":16,""5-20"":370,""21-60"":132,""61-240"":79,"">240"":27}","{""Panera Bread"":14,""Kroger"":11,""Costco Wholesale Corp."":7,""Target"":6,""Lifetime Fitness"":6,""Meijer"":5}","{""Kroger"":45,""Costco Wholesale Corp."":38,""Meijer"":37,""CVS"":25,""Target"":24,""Starbucks"":23,""Speedway"":21,""McDonald's"":21,""Tim Hortons"":19,""Lord and Taylor"":18,""Macy's"":17,""Mobil"":17,""Shell Oil"":15,""Dollar Tree"":14,""Wendy's"":14,""Panera Bread"":13,""Walmart"":13,""The Home Depot"":13,""BP"":13,""Lifetime Fitness"":12}","[0,0,0,0,0,0,2,4,9,24,33,65,88,74,102,102,86,98,107,85,72,43,16,9]","{""Monday"":75,""Tuesday"":71,""Wednesday"":66,""Thursday"":71,""Friday"":109,""Saturday"":142,""Sunday"":90}","{""android"":200,""ios"":269}",US
sg:cdc76f9f03d249bea6152a8c601a3ecf,Warp 9 Comics,21 W 14 Mile Rd,Clawson,MI,48017,,1580515200,1583020800,46,33,"[1,1,2,1,1,1,0,1,1,1,1,2,4,4,2,0,1,2,1,3,2,1,0,0,3,4,3,0,1]",{},{},"{""US"":32}",6156,15.0,"{""<5"":1,""5-20"":25,""21-60"":6,""61-240"":2,"">240"":12}","{""Mobil"":100,""Panda Express"":33}","{""Meijer"":35,""Kroger"":34,""CVS"":26,""McDonald's"":25,""Petco"":20,""Starbucks"":20,""Walgreens"":19,""Tesla Motors"":18,""Target"":18,""Burger King"":17,""Dollar Tree"":16,""Speedway"":16,""Costco Wholesale Corp."":15,""Tropical Smoothie Café"":15,""The Home Depot"":14,""Macy's"":14,""Marathon"":14,""Mobil"":14,""Kohl's"":13,""BP"":12}","[0,0,0,0,0,0,0,1,0,7,11,15,18,18,15,15,13,8,2,4,2,0,0,0]","{""Monday"":4,""Tuesday"":7,""Wednesday"":8,""Thursday"":11,""Friday"":8,""Saturday"":6,""Sunday"":2}","{""android"":15,""ios"":18}",US
