safegraph_place_id,raw_visit_counts,raw_visitor_counts,visits_by_day,popularity_by_hour,popularity_by_day
sg:08dfc0c4e2c24391841872def7ba395b,129,74,"[8,1,7,4,9,4,1,6,1,6,5,2,1,5,6,2,4,5,5,4,4,3,5,6,4,4,8,2,7]","[2,2,3,3,3,15,16,14,16,28,27,28,33,30,23,25,18,14,8,5,7,7,10,3]","{""Monday"":23,""Tuesday"":18,""Wednesday"":20,""Thursday"":17,""Friday"":12,""Saturday"":30,""Sunday"":9}"
sg:180165ef3a9e4877902fc600fe2ed921,313,165,"[14,6,8,9,21,15,13,6,6,10,15,12,13,10,7,11,11,9,10,6,12,12,5,14,9,8,11,17,12]","[4,3,3,2,2,18,17,11,27,33,38,46,62,55,51,58,72,66,51,33,33,18,8,5]","{""Monday"":43,""Tuesday"":42,""Wednesday"":51,""Thursday"":45,""Friday"":53,""Saturday"":51,""Sunday"":28}"
sg:2a2fa4a62b6243468ebae6bd73b0f859,79,29,"[3,1,5,1,7,0,5,1,1,1,6,0,1,1,2,5,2,1,2,1,3,6,2,6,2,3,5,2,3]","[6,5,6,5,8,8,6,5,9,9,11,4,11,7,8,8,6,14,14,7,6,7,7,7]","{""Monday"":14,""Tuesday"":10,""Wednesday"":12,""Thursday"":7,""Friday"":12,""Saturday"":15,""Sunday"":9}"
sg:62a74858739946388bf5851b0e831ed1,604,392,"[35,13,12,9,19,20,15,27,13,15,19,29,21,21,24,26,26,16,21,24,20,32,21,13,18,17,28,22,27]","[31,33,30,30,24,27,66,64,79,108,188,223,245,246,214,164,119,62,45,52,49,42,38,36]","{""Monday"":66,""Tuesday"":62,""Wednesday"":86,""Thursday"":93,""Friday"":79,""Saturday"":145,""Sunday"":73}"
sg:8bb0bbb54fa6433a9b6b4b5962e540f1,326,250,"[21,7,7,6,14,17,12,9,5,6,7,13,12,9,9,14,14,10,5,15,7,13,24,8,11,6,13,10,7]","[14,12,9,7,5,7,6,7,6,9,9,27,39,35,43,53,54,52,52,45,29,16,13,16]","{""Monday"":35,""Tuesday"":34,""Wednesday"":38,""Thursday"":57,""Friday"":53,""Saturday"":59,""Sunday"":50}"
sg:0b470f68817f4035963a4584c386b826,71,63,"[5,7,4,2,2,2,3,4,6,1,1,3,2,3,4,0,0,0,1,1,2,2,4,4,0,3,1,2,2]","[4,3,3,2,2,3,6,13,12,7,7,4,7,4,6,7,5,10,4,5,5,2,3,5]","{""Monday"":9,""Tuesday"":3,""Wednesday"":9,""Thursday"":6,""Friday"":10,""Saturday"":17,""Sunday"":17}"
sg:8858c50751884772bdd383bda3757ac4,584,376,"[25,29,15,10,10,20,22,30,19,16,16,16,17,22,27,15,18,14,22,13,20,37,11,23,18,12,14,35,33]","[18,17,16,16,18,17,19,47,70,82,93,84,83,95,109,99,83,69,70,63,68,56,56,36]","{""Monday"":72,""Tuesday"":58,""Wednesday"":60,""Thursday"":64,""Friday"":104,""Saturday"":152,""Sunday"":74}"
sg:f1fa6179a8a749fca8743793dd610149,80,50,"[1,6,3,2,5,1,1,3,8,3,3,5,3,1,0,6,1,1,4,4,0,1,9,2,3,1,1,1,1]","[3,2,1,1,1,3,0,2,6,18,21,25,28,19,14,9,6,2,5,5,6,4,1,1]","{""Monday"":9,""Tuesday"":9,""Wednesday"":15,""Thursday"":9,""Friday"":3,""Saturday"":6,""Sunday"":29}"
sg:8b4c351f19724d6fafd03018c32050c4,101,49,"[3,4,7,6,4,2,6,2,2,5,2,6,6,11,1,2,0,0,4,6,4,5,0,3,2,1,4,3,0]","[8,7,6,5,5,5,6,8,19,25,34,32,38,32,30,22,22,20,9,8,12,10,9,9]","{""Monday"":15,""Tuesday"":10,""Wednesday"":15,""Thursday"":18,""Friday"":24,""Saturday"":11,""Sunday"":8}"
sg:4e0c8fa767844febb58d8eb6b8477b71,36,28,"[0,0,0,2,5,0,0,0,1,2,0,0,2,4,0,0,1,3,1,2,1,0,1,0,8,0,0,2,1]","[1,1,1,1,4,2,7,5,7,6,5,9,11,10,8,3,2,1,0,0,1,2,2,2]","{""Monday"":3,""Tuesday"":13,""Wednesday"":6,""Thursday"":4,""Friday"":7,""Saturday"":1,""Sunday"":2}"
