safegraph_place_id,raw_visit_counts,raw_visitor_counts,visits_by_day,popularity_by_hour,popularity_by_day
sg:47d5114bf8e84641b629ce035dc571a9,124,39,"[1,6,4,6,4,4,1,0,7,8,5,5,3,2,0,3,7,6,8,8,0,2,6,4,0,5,4,1,2,3,9]","[1,1,1,2,10,45,47,55,68,63,56,55,46,42,37,21,15,7,0,0,2,2,3,2]","{""Monday"":25,""Tuesday"":32,""Wednesday"":17,""Thursday"":22,""Friday"":19,""Saturday"":4,""Sunday"":5}"
sg:9648817a8a3245b49fc89794cd7ca794,25,22,"[0,0,0,0,1,1,2,0,0,0,0,0,4,0,0,3,1,3,0,5,1,0,1,1,0,0,0,1,0,1,0]","[0,0,0,0,0,0,0,0,0,2,4,2,5,5,5,2,1,1,2,3,2,1,0,0]","{""Monday"":5,""Tuesday"":2,""Wednesday"":3,""Thursday"":1,""Friday"":10,""Saturday"":4,""Sunday"":0}"
sg:0d641da8f318499893f9272d1efb7562,141,113,"[4,6,5,8,3,13,6,2,4,3,0,3,4,4,4,7,7,4,7,7,2,0,9,3,1,10,6,1,3,5,0]","[3,3,3,3,3,3,3,13,21,30,23,29,37,36,26,24,24,24,21,21,9,5,4,3]","{""Monday"":30,""Tuesday"":18,""Wednesday"":13,""Thursday"":23,""Friday"":30,""Saturday"":14,""Sunday"":13}"
sg:2abd1f0f6264488ba0a8320219842a46,87,28,"[0,2,5,5,5,5,0,2,6,7,2,4,6,0,0,5,5,5,5,6,0,1,2,1,0,1,1,0,2,3,1]","[3,3,3,4,2,3,19,20,21,27,25,20,17,26,20,18,18,5,0,1,1,3,2,4]","{""Monday"":18,""Tuesday"":19,""Wednesday"":12,""Thursday"":15,""Friday"":18,""Saturday"":0,""Sunday"":5}"
sg:eb03df4c6cea4441bb2c888e9d25e9d5,1425,1098,"[18,21,27,31,21,46,52,37,22,31,20,31,49,103,56,41,33,37,45,61,102,76,87,46,0,76,63,74,48,43,28]","[2,1,1,0,0,5,8,17,22,34,114,187,233,266,271,299,267,213,177,160,136,63,27,9]","{""Monday"":206,""Tuesday"":165,""Wednesday"":88,""Thursday"":173,""Friday"":219,""Saturday"":339,""Sunday"":235}"
sg:a36a4b0b1abe483aa3324c6f36899374,417,261,"[12,9,9,16,13,16,35,17,14,5,5,9,11,18,17,10,10,13,8,16,12,21,13,10,1,13,19,15,17,16,17]","[6,2,3,4,5,5,14,30,44,63,57,53,65,63,46,36,38,60,55,60,45,19,16,10]","{""Monday"":58,""Tuesday"":51,""Wednesday"":35,""Thursday"":43,""Friday"":62,""Saturday"":84,""Sunday"":84}"
sg:c3f23b1d0c734dd399f1185c6dd6cab7,82,65,"[0,1,0,0,1,8,2,0,1,0,6,1,4,5,3,2,0,3,3,4,5,2,6,9,3,6,2,1,2,1,1]","[0,0,0,0,0,0,0,0,1,2,4,8,13,18,20,16,16,14,9,18,12,3,0,0]","{""Monday"":11,""Tuesday"":10,""Wednesday"":12,""Thursday"":11,""Friday"":18,""Saturday"":13,""Sunday"":7}"
sg:405a1230799e483b89a0ed2a83e32a17,159,67,"[3,1,1,8,3,5,5,6,2,2,2,11,5,4,3,4,2,9,3,5,8,1,6,10,6,10,11,6,8,5,4]","[24,29,24,23,22,21,21,23,26,29,40,40,42,46,43,47,42,39,36,32,38,35,29,24]","{""Monday"":18,""Tuesday"":19,""Wednesday"":25,""Thursday"":27,""Friday"":26,""Saturday"":23,""Sunday"":21}"
sg:d35c7627950447d78c463ca27b40fdfb,46,38,"[0,0,0,1,1,0,3,4,3,1,2,2,0,5,3,1,1,0,4,1,1,0,0,3,3,1,1,0,5,0,0]","[0,0,0,0,0,0,0,3,2,3,3,5,11,16,10,12,12,8,0,2,1,0,0,0]","{""Monday"":4,""Tuesday"":5,""Wednesday"":6,""Thursday"":8,""Friday"":2,""Saturday"":9,""Sunday"":12}"
sg:43747f920cd145f5970c8fc07c2334e9,156,135,"[3,2,2,6,10,4,4,1,2,6,5,4,7,5,1,1,4,3,18,12,8,8,8,2,5,6,3,2,3,8,3]","[12,0,1,0,0,0,0,2,5,6,8,10,16,10,14,19,17,12,13,7,4,12,19,14]","{""Monday"":19,""Tuesday"":17,""Wednesday"":19,""Thursday"":38,""Friday"":26,""Saturday"":21,""Sunday"":16}"
sg:a5cae4fbdbe44e56aeba649d4acaac0a,2596,1607,"[59,26,75,62,46,114,97,41,42,60,52,66,121,136,46,36,62,47,83,122,147,96,130,75,75,94,111,122,106,166,81]","[38,16,6,5,5,5,9,34,62,96,152,237,385,438,449,454,540,702,708,669,645,445,242,122]","{""Monday"":341,""Tuesday"":353,""Wednesday"":236,""Thursday"":289,""Friday"":468,""Saturday"":561,""Sunday"":348}"
sg:f98276adf3264e019f3ea2774a1e81c8,34,28,"[0,1,3,3,3,0,0,0,2,3,3,2,4,3,2,1,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,2,2,7,4,6,6,11,10,10,5,2,0,0,0,0,0]","{""Monday"":6,""Tuesday"":7,""Wednesday"":6,""Thursday"":5,""Friday"":5,""Saturday"":3,""Sunday"":2}"
sg:3536e47ec0de4db3a1ac816ea6fa9f04,128,83,"[2,1,3,4,7,9,8,2,3,3,4,7,5,4,0,5,1,3,5,6,6,0,8,5,1,8,5,1,1,8,3]","[5,3,4,3,3,3,3,7,6,17,24,23,21,19,15,22,15,9,11,11,11,13,13,12]","{""Monday"":25,""Tuesday"":15,""Wednesday"":12,""Thursday"":27,""Friday"":25,""Saturday"":19,""Sunday"":5}"
sg:9c28409c8d2643c2b5c5982ae9d3c5b9,306,139,"[2,20,10,8,2,5,15,6,14,9,14,9,16,2,4,17,7,15,16,22,3,3,16,11,2,8,13,6,14,11,6]","[22,21,21,21,21,21,25,49,74,80,82,89,73,59,58,66,57,46,47,38,38,36,35,23]","{""Monday"":78,""Tuesday"":43,""Wednesday"":39,""Thursday"":35,""Friday"":56,""Saturday"":26,""Sunday"":29}"
sg:af8d05ca9c5142ba8355010a9314b3ef,24,17,"[0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,7,1,0,0,0,2,0,2,0,2,1,1]","[1,1,1,1,1,1,1,1,2,3,2,5,3,7,6,4,3,1,3,4,3,4,1,1]","{""Monday"":3,""Tuesday"":4,""Wednesday"":3,""Thursday"":0,""Friday"":10,""Saturday"":1,""Sunday"":3}"
sg:c0ec3f804108492296dcaee1395ada18,241,116,"[6,3,5,10,6,8,9,6,7,9,9,9,5,6,7,15,13,9,10,6,7,7,9,4,11,4,7,7,12,11,4]","[41,40,42,40,35,34,30,41,48,36,43,31,39,40,32,31,35,27,22,32,38,39,44,42]","{""Monday"":44,""Tuesday"":35,""Wednesday"":39,""Thursday"":29,""Friday"":26,""Saturday"":30,""Sunday"":38}"
sg:58e620210fb149758abdad45a9362156,132,118,"[4,1,1,5,4,14,11,15,6,6,1,2,3,7,3,2,0,6,1,9,8,2,1,2,1,1,2,4,2,3,5]","[3,3,2,3,3,3,4,7,10,13,22,22,15,19,14,22,17,30,33,14,11,9,4,3]","{""Monday"":13,""Tuesday"":14,""Wednesday"":13,""Thursday"":8,""Friday"":28,""Saturday"":30,""Sunday"":26}"
sg:4aa4ad2e68f64883b4d314b39fd6da68,60,50,"[0,2,1,0,3,3,2,2,1,2,1,2,0,2,1,2,2,1,1,2,2,4,2,3,0,0,3,2,4,4,6]","[0,0,1,1,1,1,0,0,1,1,0,4,5,13,7,12,10,8,8,11,6,4,4,1]","{""Monday"":10,""Tuesday"":14,""Wednesday"":2,""Thursday"":6,""Friday"":8,""Saturday"":9,""Sunday"":11}"
sg:e65377976c774319b9ab8552179a57e6,10,9,"[0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,3,0,1,1,0,0,0,0,1,0,0,0,0,0,0]","[0,0,0,0,0,0,1,2,1,2,1,1,0,0,0,2,0,0,1,0,0,0,0,0]","{""Monday"":0,""Tuesday"":3,""Wednesday"":2,""Thursday"":2,""Friday"":2,""Saturday"":1,""Sunday"":0}"
sg:a8c4031fa25945efaa6d3ed1f739036a,36,27,"[1,2,0,2,0,0,1,1,3,0,1,1,5,0,2,1,1,0,0,2,3,3,0,1,1,0,2,3,0,0,0]","[6,5,4,3,2,2,2,3,3,5,1,1,3,2,2,3,4,4,1,7,14,7,4,7]","{""Monday"":6,""Tuesday"":2,""Wednesday"":4,""Thursday"":1,""Friday"":9,""Saturday"":7,""Sunday"":7}"
sg:27db0b7c51664225a6044fac6f51cdc8,106,100,"[0,5,5,9,9,16,4,2,3,2,3,2,6,2,0,1,2,4,1,4,2,3,5,0,0,3,7,0,0,6,0]","[4,3,2,1,2,1,0,3,6,21,23,23,20,18,20,16,11,10,8,0,3,3,1,3]","{""Monday"":20,""Tuesday"":9,""Wednesday"":16,""Thursday"":15,""Friday"":33,""Saturday"":8,""Sunday"":5}"
sg:36d8f5f3ac0c4197b397d43e342bb2d9,59,41,"[1,1,2,3,6,0,3,1,1,3,5,2,4,4,0,1,1,3,3,2,1,0,1,0,1,1,2,1,0,4,2]","[0,0,0,0,0,0,0,0,3,7,7,10,15,16,10,10,9,8,6,3,2,1,1,1]","{""Monday"":8,""Tuesday"":8,""Wednesday"":12,""Thursday"":12,""Friday"":8,""Saturday"":9,""Sunday"":2}"
