"safegraph_place_id","location_name","street_address","city","region","postal_code","brands","date_range_start","date_range_end","raw_visit_counts","raw_visitor_counts","visits_by_day","visitor_home_cbgs","visitor_work_cbgs","visitor_country_of_origin","distance_from_home","median_dwell","bucketed_dwell_times","related_same_day_brand","related_same_month_brand","popularity_by_hour","popularity_by_day","device_type","iso_country_code"
sg:dac69affbcf642059ba4955867cda00c,Schuler Books & Music,2660 28th St SE,Grand Rapids,MI,49512,,1575158400,1577836800,769,592,"[6,16,11,18,20,13,34,20,13,21,21,24,30,38,21,37,27,31,29,31,43,35,60,25,0,33,33,25,16,22,16]","{""260810109042"":10,""260810043002"":9,""260810122011"":9,""260810119011"":8,""260810041001"":8,""260810044004"":8,""260810044002"":7,""260810125001"":7,""260810148062"":7,""260810118014"":7,""260810148071"":7,""260810122012"":6,""260810023001"":6,""260810113013"":6,""260810127022"":6,""260810124002"":6,""260810124003"":6,""260810045006"":5,""260810148073"":5,""260810148061"":5,""260810034001"":5,""260810125002"":5}","{""260810122031"":9,""260810126081"":8,""260810118031"":6,""260810126051"":6,""260810110021"":6,""260810122033"":5,""260810044002"":5}","{""US"":584}",11180,32.0,"{""<5"":8,""5-20"":235,""21-60"":300,""61-240"":202,"">240"":24}","{""Trader Joe's"":13,""Christian Brothers Automotive"":11,""Leslie's Swimming Pool Supplies"":8,""Chevrolet"":8,""Meijer"":6,""Kohl's"":6,""Dollar Tree"":5,""Costco Wholesale Corp."":5}","{""Meijer"":65,""Starbucks"":37,""Target"":35,""McDonald's"":24,""Costco Wholesale Corp."":23,""Speedway"":22,""Kohl's"":21,""Walgreens"":20,""Celebration! Cinema"":20,""On The Border"":19,""Subway"":19,""Biggby Coffee"":18,""T.J. Maxx"":16,""Family Fare"":16,""Jimmy John's"":15,""Culver's"":15,""Dollar Tree"":14,""Hobby Lobby Stores"":14,""Wendy's"":14,""Panera Bread"":13}","[1,0,0,0,0,0,2,6,23,49,88,162,183,174,175,152,144,122,84,59,48,14,2,1]","{""Monday"":148,""Tuesday"":100,""Wednesday"":70,""Thursday"":106,""Friday"":107,""Saturday"":140,""Sunday"":98}","{""android"":304,""ios"":288}",US
sg:6a9f02e4b0b5449c875b56f18f9a5ea7,Waterloo Farm Museum,13493 Waterloo Munith Rd,Grass Lake,MI,49240,,1575158400,1577836800,16,16,"[0,0,0,0,0,0,6,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0]",{},{},"{""US"":16}",8787,66.5,"{""<5"":0,""5-20"":1,""21-60"":6,""61-240"":8,"">240"":1}",{},"{""Meijer"":61,""McDonald's"":42,""Speedway"":35,""United States Postal Service (USPS)"":35,""BP"":28,""Target"":27,""Dollar General"":25,""Shell Oil"":25,""Subway"":24,""Walmart"":23,""T.J. Maxx"":22,""Costco Wholesale Corp."":21,""Country Market"":19,""Bob's Big Boy"":19,""Harry and David"":19,""Bob Evans"":18,""Edible Arrangements"":18,""Menard's"":18,""The Home Depot"":14,""Wendy's"":14}","[0,1,0,0,0,0,0,0,0,0,2,4,7,7,8,4,1,0,0,0,0,0,0,0]","{""Monday"":0,""Tuesday"":0,""Wednesday"":0,""Thursday"":1,""Friday"":0,""Saturday"":6,""Sunday"":9}","{""android"":9,""ios"":7}",US
sg:047428ec101f45aa8267de1e20ba2169,Kitty's Cheesecakes & More,681 E 8 Mile Rd,Ferndale,MI,48220,,1575158400,1577836800,32,30,"[0,1,2,2,1,1,1,3,0,2,2,0,0,2,1,2,2,1,1,3,0,1,0,0,1,0,0,0,0,1,2]",{},{},"{""US"":26}",11565,8.0,"{""<5"":5,""5-20"":26,""21-60"":1,""61-240"":0,"">240"":0}","{""BP"":99,""Dodge"":50,""Planet Fitness"":49}","{""Meijer"":39,""BP"":34,""McDonald's"":32,""Mobil"":25,""Sunoco"":25,""CVS"":25,""Speedway"":25,""Shell Oil"":23,""Rite Aid"":22,""Kroger"":21,""KFC"":18,""Dollar Tree"":17,""The Home Depot"":15,""Wendy's"":15,""Taco Bell"":15,""Macy's"":14,""CITGO"":12,""Burger King"":12,""Planet Fitness"":11,""JCPenney"":11}","[1,0,0,0,0,0,1,0,3,5,5,1,3,6,5,1,1,2,0,0,2,0,0,0]","{""Monday"":3,""Tuesday"":8,""Wednesday"":6,""Thursday"":2,""Friday"":4,""Saturday"":4,""Sunday"":5}","{""android"":21,""ios"":9}",US
sg:72a938c85bd7415abd941fe6862aff8d,VendTek Wholesale Equipment Inc,47757 West Rd Ste C-103,Wixom,MI,48393,,1575158400,1577836800,33,23,"[0,2,1,3,2,1,0,2,2,1,1,3,1,0,0,1,1,2,3,2,0,0,0,0,0,1,1,0,0,1,2]",{},{},"{""US"":19}",32542,18.0,"{""<5"":0,""5-20"":17,""21-60"":6,""61-240"":6,"">240"":4}",{},"{""Meijer"":38,""Kroger"":32,""Costco Wholesale Corp."":31,""The Home Depot"":26,""McDonald's"":25,""Wendy's"":21,""CVS"":21,""Taco Bell"":21,""Mobil"":20,""Speedway"":20,""JCPenney"":20,""Macy's"":19,""BP"":19,""T.J. Maxx"":18,""Sunoco"":15,""PetSmart"":15,""7-Eleven"":15,""Family Dollar Stores"":14,""Gordon Food Service Store"":13,""Westin Hotels & Resorts"":13}","[0,0,0,0,0,0,0,0,3,10,8,10,10,7,9,10,5,1,0,2,1,0,0,0]","{""Monday"":6,""Tuesday"":5,""Wednesday"":6,""Thursday"":9,""Friday"":5,""Saturday"":0,""Sunday"":2}","{""android"":16,""ios"":7}",US
sg:c30972c801144284a86e2a317c2e175f,Grosscup Museum Of Anthropology,656 W Kirby St,Detroit,MI,48202,,1575158400,1577836800,451,231,"[13,17,24,18,34,31,20,16,33,18,54,26,28,14,11,21,24,12,8,2,5,5,1,3,0,2,0,1,1,8,1]","{""261635202002"":51}","{""261635202002"":10}","{""US"":216}",18291,28.0,"{""<5"":1,""5-20"":168,""21-60"":174,""61-240"":93,"">240"":15}","{""Panda Express"":30,""Freshii"":17,""Sherwin-Williams"":9,""Kroger"":8,""Subway"":8,""Einstein Brothers"":6}","{""Panda Express"":38,""Meijer"":27,""McDonald's"":27,""Freshii"":26,""Starbucks"":25,""Dunkin'"":24,""Einstein Brothers"":22,""Kroger"":21,""Target"":18,""Tim Hortons"":17,""CVS"":17,""BP"":15,""Taco Bell"":13,""Subway"":13,""Speedway"":13,""Macy's"":12,""Emagine Entertainment"":12,""JCPenney"":11,""Mobil"":11,""Tesla Motors"":10}","[27,14,12,10,10,15,19,11,13,10,7,16,55,54,38,20,16,25,41,136,120,93,72,37]","{""Monday"":74,""Tuesday"":70,""Wednesday"":84,""Thursday"":70,""Friday"":61,""Saturday"":46,""Sunday"":46}","{""android"":84,""ios"":147}",US
sg:0c754d15256f42a9a4c91ae24831506e,Green Brain Comics,13210 Michigan Ave,Dearborn,MI,48126,,1575158400,1577836800,138,115,"[3,6,5,2,9,2,8,2,7,3,4,8,6,6,2,4,9,1,3,9,7,3,6,1,1,3,1,3,2,8,4]",{},{},"{""US"":113}",10743,30.5,"{""<5"":1,""5-20"":55,""21-60"":38,""61-240"":42,"">240"":2}","{""Starbucks"":22,""Walmart"":7}","{""Tim Hortons"":34,""Meijer"":33,""BP"":31,""Kroger"":29,""Target"":25,""CVS"":24,""Mobil"":23,""McDonald's"":22,""Macy's"":22,""Starbucks"":22,""Subway"":20,""Dollar Tree"":17,""Family Dollar Stores"":17,""Sunoco"":16,""Costco Wholesale Corp."":16,""Burger King"":15,""Taco Bell"":15,""JCPenney"":14,""Walgreens"":14,""The Home Depot"":14}","[2,2,1,3,3,1,3,3,2,3,10,19,22,21,11,7,16,22,28,21,22,14,5,2]","{""Monday"":29,""Tuesday"":22,""Wednesday"":8,""Thursday"":23,""Friday"":18,""Saturday"":26,""Sunday"":12}","{""android"":64,""ios"":51}",US
sg:2b294061a4094658b461bd19b18507b6,Amita's Bakery,46362 Dequindre Rd,Shelby Township,MI,48317,,1575158400,1577836800,37,35,"[2,1,0,2,0,0,1,1,1,2,1,0,0,1,0,0,2,1,3,2,2,6,2,2,0,0,0,1,3,0,1]","{""260992256003"":8}",{},"{""US"":35}",4326,8.0,"{""<5"":2,""5-20"":27,""21-60"":5,""61-240"":2,"">240"":1}","{""BMW"":100,""Dollar Tree"":99,""Kohl's"":32}","{""McDonald's"":54,""Walmart"":45,""Kroger"":34,""Meijer"":33,""Target"":33,""Mobil"":32,""Speedway"":32,""BP"":25,""The Home Depot"":24,""Little Caesars"":21,""Planet Fitness"":21,""Sunoco"":21,""BMW"":20,""Shell Oil"":19,""Costco Wholesale Corp."":19,""Burger King"":18,""Macy's"":18,""CVS"":18,""Emagine Entertainment"":17,""Jet's Pizza"":17}","[1,1,1,1,1,1,1,1,0,2,2,6,3,7,8,6,7,3,1,0,0,0,0,0]","{""Monday"":4,""Tuesday"":7,""Wednesday"":4,""Thursday"":3,""Friday"":2,""Saturday"":5,""Sunday"":12}","{""android"":15,""ios"":20}",US
sg:8b60e87b90aa4457a8a2d22662daa81a,Butter Crust Bakery,6181 Dixie Hwy,Bridgeport,MI,48722,,1575158400,1577836800,54,43,"[0,2,5,3,1,1,5,1,0,2,1,1,4,2,0,3,2,1,4,2,4,0,2,3,0,0,0,0,0,1,4]",{},{},"{""US"":42}",7437,10.0,"{""<5"":4,""5-20"":33,""21-60"":10,""61-240"":5,"">240"":2}","{""Gordmans"":50,""Family Dollar Stores"":49,""Shell Oil"":23}","{""Meijer"":50,""Kroger"":46,""McDonald's"":42,""Walmart"":39,""Dollar General"":31,""Speedway"":28,""Menard's"":27,""Taco Bell"":25,""Dollar Tree"":24,""Family Dollar Stores"":22,""Rite Aid"":22,""Covenant HealthCare"":21,""BP"":20,""Emagine Entertainment"":19,""Wendy's"":18,""Burger King"":16,""Ollie's Bargain Outlet"":16,""Sam's Club"":15,""Sunoco"":14,""Applebee's"":14}","[0,0,0,0,0,2,1,3,4,6,10,8,8,5,9,9,9,5,3,3,0,1,0,0]","{""Monday"":7,""Tuesday"":16,""Wednesday"":5,""Thursday"":6,""Friday"":7,""Saturday"":12,""Sunday"":1}","{""android"":30,""ios"":13}",US
sg:0cf22c1d6d0a4c85a0a22d9abef0d3cb,Cole's Quality Foods,1188 Lakeshore Dr,Muskegon,MI,49441,,1575158400,1577836800,185,67,"[5,6,6,6,6,8,6,3,7,7,7,6,9,5,5,9,5,7,6,7,4,4,4,3,4,13,8,3,3,6,7]",{},{},"{""US"":57}",30691,160.0,"{""<5"":1,""5-20"":41,""21-60"":20,""61-240"":43,"">240"":80}","{""Subway"":32,""Pizza Hut"":25,""PODS"":17,""Wesco Convenience Store"":17,""McDonald's"":17,""Speedway"":16,""Dollar General"":15,""Meijer"":12}","{""Meijer"":42,""McDonald's"":34,""Speedway"":32,""BP"":31,""Subway"":29,""Pilot Flying J"":24,""Shell Oil"":22,""Wesco Convenience Store"":21,""TravelCenters of America"":20,""Walmart"":18,""Menard's"":17,""Love's Travel Stops and Country Stores"":17,""Tractor Supply Co."":15,""Biggby Coffee"":15,""Dollar General"":15,""Sunoco"":15,""Arby's"":14,""Dunham's Sports"":13,""The Home Depot"":12,""Dollar Tree"":11}","[19,18,19,19,45,46,61,71,80,78,73,72,65,59,34,36,34,24,11,9,28,24,23,20]","{""Monday"":32,""Tuesday"":28,""Wednesday"":24,""Thursday"":31,""Friday"":32,""Saturday"":18,""Sunday"":20}","{""android"":50,""ios"":17}",US
sg:d789947de7a34059bf097471a67056d5,Our Saviours Historical Society & Museum,304 Walnut St,Manistee,MI,49660,,1575158400,1577836800,45,33,"[1,1,2,1,0,9,4,1,0,1,1,0,2,1,1,0,1,2,0,0,0,1,2,6,2,1,2,2,0,1,0]",{},{},"{""US"":29}",32286,20.0,"{""<5"":1,""5-20"":24,""21-60"":5,""61-240"":12,"">240"":3}","{""Ferrellgas"":50}","{""Meijer"":53,""McDonald's"":34,""Wesco Convenience Store"":30,""A&W Restaurants"":27,""Arby's"":25,""Walmart"":21,""BP"":21,""Dollar Tree"":21,""Walgreens"":20,""Menard's"":20,""Burger King"":16,""Michaels Stores"":16,""Dollar General"":15,""Gordmans"":15,""Lowe's"":14,""Tractor Supply Co."":14,""ALDI"":14,""Pizza Hut"":13,""Taco Bell"":13,""Hobby Lobby Stores"":13}","[2,3,3,3,3,3,3,5,6,8,9,7,4,5,6,6,3,3,5,9,8,6,5,3]","{""Monday"":4,""Tuesday"":10,""Wednesday"":6,""Thursday"":1,""Friday"":13,""Saturday"":7,""Sunday"":4}","{""android"":21,""ios"":12}",US
