safegraph_place_id,raw_visit_counts,raw_visitor_counts,visits_by_day,popularity_by_hour,popularity_by_day
sg:8bb0bbb54fa6433a9b6b4b5962e540f1,499,337,"[6,18,11,21,11,5,11,15,17,36,24,16,13,14,8,15,46,14,8,14,11,12,12,35,20,14,10,12,16,8,26]","[80,58,15,12,8,8,7,13,26,24,20,45,67,55,63,81,73,50,49,39,54,35,43,81]","{""Monday"":42,""Tuesday"":56,""Wednesday"":57,""Thursday"":70,""Friday"":146,""Saturday"":79,""Sunday"":49}"
sg:6f808da30d9b438ca8ef1e4224b5e158,122,23,"[4,2,5,0,3,6,4,4,4,4,0,0,6,3,6,5,5,5,5,5,3,5,5,7,0,2,6,3,3,2,10]","[31,30,30,28,26,26,38,38,60,60,57,61,65,54,51,44,32,23,5,11,18,25,28,29]","{""Monday"":23,""Tuesday"":16,""Wednesday"":22,""Thursday"":18,""Friday"":28,""Saturday"":5,""Sunday"":10}"
sg:09c11cbf029a4db48bcd2a1a134b4483,56,37,"[0,2,2,1,0,0,3,1,1,4,1,3,0,1,6,4,3,3,1,2,2,0,4,0,2,1,1,3,2,1,2]","[5,7,9,7,4,6,7,10,9,6,6,7,5,8,7,8,5,5,0,7,9,5,7,7]","{""Monday"":3,""Tuesday"":10,""Wednesday"":9,""Thursday"":12,""Friday"":10,""Saturday"":7,""Sunday"":5}"
sg:5658a4866d644607ab44db411aae3b48,74,59,"[0,3,4,3,0,1,2,5,5,4,0,0,1,4,3,1,9,2,0,0,0,1,2,4,0,1,2,4,5,4,4]","[0,1,0,1,1,1,0,1,5,6,11,11,12,14,11,15,16,8,1,1,0,0,1,1]","{""Monday"":4,""Tuesday"":10,""Wednesday"":14,""Thursday"":15,""Friday"":25,""Saturday"":5,""Sunday"":1}"
sg:61144666248646f38ab857d7aae9518f,39,8,"[1,2,2,1,1,0,2,1,1,0,1,1,1,2,0,0,3,1,1,1,1,2,3,3,1,0,3,2,1,0,1]","[7,8,8,8,8,8,8,8,6,7,6,3,3,4,5,5,4,7,7,10,12,10,9,9]","{""Monday"":5,""Tuesday"":8,""Wednesday"":5,""Thursday"":6,""Friday"":8,""Saturday"":4,""Sunday"":3}"
sg:7e199527fc6f4251a8d6f0a2903fb0ea,6,5,"[1,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,1,0,0,0,0,0]","{""Monday"":0,""Tuesday"":0,""Wednesday"":1,""Thursday"":1,""Friday"":0,""Saturday"":3,""Sunday"":1}"
sg:ff27e0830a2742f89089b2c5e9d4b408,332,83,"[11,13,19,10,10,12,8,14,12,15,9,8,14,9,8,11,12,8,7,9,11,14,10,10,3,4,11,14,12,11,13]","[54,51,55,64,65,67,70,103,99,114,116,104,95,92,93,81,58,55,53,42,52,57,65,63]","{""Monday"":46,""Tuesday"":46,""Wednesday"":59,""Thursday"":57,""Friday"":65,""Saturday"":30,""Sunday"":29}"
sg:ebcaba9541a144f29be54e7e6369acd3,447,239,"[16,17,10,15,13,13,21,17,18,25,11,8,6,22,8,15,19,9,14,8,4,14,13,15,9,20,16,23,19,14,15]","[91,88,80,70,63,64,58,64,72,83,62,24,27,23,20,21,26,28,17,54,94,101,98,94]","{""Monday"":43,""Tuesday"":75,""Wednesday"":74,""Thursday"":77,""Friday"":79,""Saturday"":44,""Sunday"":55}"
sg:cc807a91eceb4b1b9e6b879b54dcfbd5,85,62,"[4,1,1,2,0,2,3,1,3,2,2,2,6,0,3,2,1,12,5,3,0,3,1,3,10,1,3,2,4,1,2]","[4,2,1,1,1,1,1,7,3,6,6,5,12,13,17,19,16,8,7,9,4,2,2,3]","{""Monday"":14,""Tuesday"":7,""Wednesday"":15,""Thursday"":8,""Friday"":7,""Saturday"":26,""Sunday"":8}"
sg:8858c50751884772bdd383bda3757ac4,558,337,"[9,12,35,32,18,15,12,23,21,16,24,13,15,20,28,14,24,22,22,14,9,18,8,32,23,13,8,13,18,12,15]","[35,31,30,28,26,30,34,52,62,75,79,81,96,102,107,79,65,100,72,64,80,70,70,51]","{""Monday"":52,""Tuesday"":59,""Wednesday"":96,""Thursday"":67,""Friday"":117,""Saturday"":101,""Sunday"":66}"
sg:f1fa6179a8a749fca8743793dd610149,134,78,"[0,0,1,12,6,6,2,4,5,6,0,5,7,3,7,2,1,5,11,8,9,1,2,3,0,8,3,1,4,1,11]","[7,7,2,1,3,4,4,7,10,19,27,34,41,37,19,15,16,17,9,15,16,11,5,7]","{""Monday"":24,""Tuesday"":22,""Wednesday"":16,""Thursday"":10,""Friday"":15,""Saturday"":17,""Sunday"":30}"
sg:0a60bcf35dea4a37b599b243f0a37a48,291,135,"[11,14,12,15,6,8,9,10,13,12,3,5,9,5,11,6,10,5,2,7,13,11,16,16,10,15,13,5,5,6,8]","[5,5,2,3,4,7,9,24,40,50,43,36,39,35,39,42,40,25,14,17,18,20,17,6]","{""Monday"":37,""Tuesday"":33,""Wednesday"":48,""Thursday"":55,""Friday"":57,""Saturday"":33,""Sunday"":28}"
sg:a637769f463d4ff3952983a5fb32b9ab,19,12,"[0,0,0,1,2,0,1,1,0,1,2,1,1,1,0,1,1,0,1,0,1,0,0,2,0,1,0,0,0,0,1]","[0,0,0,0,0,0,0,0,3,7,8,4,5,4,1,1,0,1,0,1,1,0,0,0]","{""Monday"":1,""Tuesday"":3,""Wednesday"":1,""Thursday"":1,""Friday"":5,""Saturday"":3,""Sunday"":5}"
sg:d96aae2a3e1f4f6881cba9faef55b5dd,194,55,"[1,1,1,1,5,7,5,7,10,5,3,4,6,4,8,9,11,7,4,9,14,6,11,5,3,4,12,9,8,10,4]","[33,33,31,30,30,30,30,29,31,33,52,42,39,38,44,57,61,64,48,23,31,34,30,33]","{""Monday"":34,""Tuesday"":32,""Wednesday"":30,""Thursday"":41,""Friday"":26,""Saturday"":14,""Sunday"":17}"
sg:40c673350df444119fb615a33c654fda,122,79,"[2,5,5,6,1,4,6,3,4,11,6,2,3,4,1,4,10,3,1,2,5,2,6,6,4,1,3,5,1,5,1]","[14,8,4,2,4,4,4,5,9,34,43,41,39,41,43,35,34,28,15,13,17,18,21,18]","{""Monday"":12,""Tuesday"":20,""Wednesday"":9,""Thursday"":24,""Friday"":33,""Saturday"":19,""Sunday"":5}"
sg:4d37fefe3b034b80aa997ce220c4a9f2,18,18,"[0,1,0,0,0,1,1,1,1,1,0,0,0,0,3,0,0,0,0,2,0,1,0,0,0,0,3,0,0,1,2]","[0,0,0,0,0,0,0,0,0,2,3,6,8,5,3,2,3,6,1,1,1,1,0,0]","{""Monday"":6,""Tuesday"":2,""Wednesday"":5,""Thursday"":3,""Friday"":2,""Saturday"":0,""Sunday"":0}"
sg:ec1b47be9e1e4ae38852d9d15a75946e,11,5,"[0,1,0,0,0,0,2,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1]","[4,4,3,2,2,2,2,2,2,4,4,2,2,2,2,2,1,0,0,1,2,2,4,5]","{""Monday"":0,""Tuesday"":4,""Wednesday"":1,""Thursday"":1,""Friday"":3,""Saturday"":2,""Sunday"":0}"
sg:ed8f02209c514d9b9ab693a4d9b71c95,80,76,"[0,4,2,3,0,1,6,3,4,2,1,0,6,5,0,9,2,2,0,0,7,0,6,0,3,0,2,3,2,4,3]","[1,0,0,0,0,0,0,2,6,8,14,15,20,13,14,16,11,5,1,1,2,2,1,0]","{""Monday"":9,""Tuesday"":21,""Wednesday"":5,""Thursday"":27,""Friday"":9,""Saturday"":9,""Sunday"":0}"
