"safegraph_place_id","location_name","street_address","city","region","postal_code","brands","date_range_start","date_range_end","raw_visit_counts","raw_visitor_counts","visits_by_day","visitor_home_cbgs","visitor_work_cbgs","visitor_country_of_origin","distance_from_home","median_dwell","bucketed_dwell_times","related_same_day_brand","related_same_month_brand","popularity_by_hour","popularity_by_day","device_type","iso_country_code"
sg:f3962ff9dedf4ac29e1baea462335711,Port Huron Pastry Shop,3115 Lapeer Rd,Port Huron,MI,48060,,1577836800,1580515200,26,20,"[0,2,1,1,0,1,0,0,0,1,1,0,0,1,2,0,1,0,0,1,0,2,0,1,0,1,2,1,2,1,4]",{},{},"{""US"":18}",3663,13.0,"{""<5"":4,""5-20"":13,""21-60"":4,""61-240"":5,"">240"":0}","{""O'Reilly Auto Parts"":50}","{""Foster Blue Water Oil"":45,""Menard's"":44,""McDonald's"":43,""Ollie's Bargain Outlet"":40,""Speedway"":38,""Dollar Tree"":35,""Meijer"":34,""SpeedyQ Market"":30,""Sam's Club"":27,""Chase"":25,""Curves"":20,""Dollar General"":20,""Five Below"":19,""O'Reilly Auto Parts"":19,""Mobil"":18,""Kroger"":17,""BP"":17,""Family Dollar Stores"":17,""The Home Depot"":16,""CVS"":15}","[0,0,0,0,0,0,0,0,3,3,6,5,4,4,4,2,5,3,1,1,1,0,0,0]","{""Monday"":4,""Tuesday"":2,""Wednesday"":6,""Thursday"":3,""Friday"":8,""Saturday"":2,""Sunday"":1}","{""android"":13,""ios"":7}",US
sg:d3d1ab08780f4c62831dc1cb90f93290,Naba Brick Oven Bakery,15723 W Warren Ave,Detroit,MI,48228,,1577836800,1580515200,152,102,"[4,8,8,7,3,7,6,2,6,4,6,3,5,2,3,3,2,0,8,3,8,3,5,6,5,5,7,6,6,3,8]","{""261635456001"":7}",{},"{""US"":98}",3789,10.0,"{""<5"":9,""5-20"":106,""21-60"":26,""61-240"":7,"">240"":4}","{""Mobil"":100,""CVS"":24,""Kroger"":24,""Tubby's Grilled Submarines"":12,""CrossFit"":12}","{""BP"":40,""Walmart"":39,""Subway"":36,""Tim Hortons"":35,""Marathon"":35,""Mobil"":29,""The Home Depot"":28,""Kroger"":24,""Macy's"":21,""Speedway"":21,""Sunoco"":20,""Dollar Tree"":19,""Shell Oil"":19,""CVS"":18,""Love's Travel Stops and Country Stores"":18,""Pilot Flying J"":17,""Wendy's"":16,""AutoZone"":16,""Dollar General"":15,""Burlington"":14}","[3,4,4,5,4,4,3,3,6,6,15,18,15,20,34,27,15,13,14,6,5,5,4,4]","{""Monday"":22,""Tuesday"":22,""Wednesday"":18,""Thursday"":25,""Friday"":28,""Saturday"":18,""Sunday"":19}","{""android"":61,""ios"":41}",US
sg:dd03c9d2518641dabbb00a1451e9e22f,Comic City,466 N Telegraph Rd,Pontiac,MI,48341,,1577836800,1580515200,539,250,"[0,18,23,13,7,21,15,21,18,21,15,16,12,12,21,19,22,9,14,25,17,20,23,27,13,17,20,19,18,18,25]","{""261251415004"":11,""261251417002"":8,""261251412002"":7,""261251452003"":6}",{},"{""US"":232}",4868,77.0,"{""<5"":12,""5-20"":105,""21-60"":123,""61-240"":254,"">240"":45}","{""Family Dollar Stores"":10,""Mobil"":10,""Big Lots Stores"":9,""Target"":8,""Checkers Drive-In Restaurants"":7,""Harbor Freight Tools"":7,""Tim Hortons"":7,""Little Caesars"":7,""Walgreens"":6,""KFC"":6,""Culver's"":5,""CycleBar"":5}","{""Meijer"":32,""Mobil"":24,""Dollar Tree"":23,""Kroger"":21,""McDonald's"":20,""Marathon"":17,""Speedway"":15,""Family Dollar Stores"":15,""Rite Aid"":14,""Sunoco"":14,""Taco Bell"":13,""BP"":12,""Little Caesars"":11,""Walmart"":11,""Burger King"":10,""7-Eleven"":9,""Tim Hortons"":9,""Wendy's"":9,""Belle Tire"":8,""Subway"":8}","[0,0,0,0,16,35,67,89,114,117,126,130,143,119,99,97,79,68,57,30,14,3,1,1]","{""Monday"":78,""Tuesday"":64,""Wednesday"":80,""Thursday"":96,""Friday"":117,""Saturday"":50,""Sunday"":54}","{""android"":206,""ios"":44}",US
sg:e9811d967d324dcd8ffc75bfe95e6a6f,Cross Section Comics,501 N Walnut St,Lansing,MI,48933,,1577836800,1580515200,169,75,"[12,5,5,8,7,6,5,8,10,4,2,8,3,6,13,6,5,3,2,7,2,3,5,2,2,4,4,3,5,6,8]","{""260650006001"":11}",{},"{""US"":68}",5727,73.0,"{""<5"":2,""5-20"":40,""21-60"":37,""61-240"":54,"">240"":36}","{""Meijer"":50,""AutoZone"":50,""McDonald's"":22,""Dollar General"":19,""Quality Dairy"":14,""Burger King"":12,""Sunoco"":11,""Walmart"":8,""Family Dollar Stores"":8}","{""Meijer"":50,""Speedway"":45,""Marathon"":25,""Kroger"":23,""Quality Dairy"":20,""Family Dollar Stores"":17,""Biggby Coffee"":16,""Wendy's"":16,""McDonald's"":16,""Burger King"":14,""Rite Aid"":13,""Sunoco"":13,""Citi Trends"":12,""Dollar General"":11,""Subway"":11,""Dollar Tree"":10,""Menard's"":10,""AutoZone"":9,""Walmart"":9,""United States Postal Service (USPS)"":8}","[34,32,32,32,29,27,26,18,19,34,37,37,21,20,26,20,26,24,24,22,23,27,30,32]","{""Monday"":20,""Tuesday"":22,""Wednesday"":41,""Thursday"":32,""Friday"":18,""Saturday"":15,""Sunday"":21}","{""android"":53,""ios"":22}",US
sg:f56186cb7a304a97b453e4f745dd706b,Legacy Cakes,5448 S Meridian Rd,Jackson,MI,49201,,1577836800,1580515200,17,8,"[3,1,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2,0,0,1,2,0,1,0,0,0,0,0,1,2]",{},{},"{""US"":7}",8008,176.0,"{""<5"":1,""5-20"":1,""21-60"":1,""61-240"":7,"">240"":7}",{},"{""Meijer"":61,""Henry Ford Health System"":37,""Big Lots Stores"":36,""Wendy's"":33,""Dollar General"":32,""McDonald's"":25,""Bob Evans"":25,""CITGO"":24,""Menard's"":24,""IHOP"":23,""BP"":22,""Target"":18,""Subway"":18,""Kelly Express Mart"":12,""American 1 Credit Union"":12,""Country Market"":12,""PS Food Mart"":12,""Johnny's Markets"":12,""Rainforest Cafe"":12,""The Huntington National Bank"":12}","[6,6,6,6,6,6,6,6,6,5,7,7,4,6,7,5,4,2,2,4,5,6,6,6]","{""Monday"":0,""Tuesday"":2,""Wednesday"":5,""Thursday"":3,""Friday"":5,""Saturday"":2,""Sunday"":0}","{""android"":8,""ios"":0}",US
sg:1252a16c0fd64c2f99531cf7ea8a226d,Galaxy Comics,2616 State St,Saginaw,MI,48602,,1577836800,1580515200,626,356,"[12,18,27,18,14,19,32,24,17,28,15,17,27,20,23,20,31,23,18,17,18,18,18,28,24,15,14,21,14,13,23]","{""261450020003"":16,""261450103022"":8,""261450020004"":8,""261450105023"":7,""261450021001"":7,""261450011003"":6,""261450021003"":6,""261450103032"":5,""261450101002"":5,""261450104021"":5,""261450107004"":5,""261450021002"":5}","{""261450102002"":5}","{""US"":351}",4098,39.5,"{""<5"":27,""5-20"":196,""21-60"":196,""61-240"":147,"">240"":60}","{""Starbucks"":16,""SiteOne Landscape Supply"":9,""Chase"":8,""United States Postal Service (USPS)"":6,""Kroger"":6,""7-Eleven"":6,""Biggby Coffee"":6,""Habitat for Humanity"":6,""Yankee Candle"":5}","{""Meijer"":38,""McDonald's"":36,""Walmart"":36,""Kroger"":34,""Speedway"":29,""Rite Aid"":27,""Covenant HealthCare"":25,""7-Eleven"":23,""BP"":22,""Family Dollar Stores"":20,""Taco Bell"":20,""Applebee's"":18,""Menard's"":17,""Marathon"":15,""Dollar General"":14,""Sam's Club"":13,""Dollar Tree"":13,""Forward"":13,""Mobil"":12,""Burger King"":12}","[29,18,13,11,11,7,15,33,63,86,104,118,146,114,97,79,87,86,64,63,58,49,38,35]","{""Monday"":77,""Tuesday"":94,""Wednesday"":91,""Thursday"":86,""Friday"":134,""Saturday"":80,""Sunday"":64}","{""android"":248,""ios"":108}",US
sg:9886b23f91544ebd83d1bdf1a03804ca,Nandis Knowledge Cafe,71 Oakman Blvd,Highland Park,MI,48203,,1577836800,1580515200,68,40,"[0,7,0,2,6,3,2,1,2,1,1,3,5,2,1,4,4,0,3,2,0,0,2,1,1,3,2,1,1,2,6]",{},{},"{""US"":38}",7910,85.0,"{""<5"":0,""5-20"":14,""21-60"":11,""61-240"":35,"">240"":8}","{""Popeyes Louisiana Kitchen"":33,""Wendy's"":33}","{""BP"":35,""CVS"":33,""Marathon"":29,""Mobil"":26,""Sunoco"":26,""Dollar Tree"":25,""McDonald's"":25,""CITGO"":24,""Meijer"":19,""Wendy's"":18,""Family Dollar Stores"":17,""76"":17,""Walmart"":16,""Subway"":16,""Popeyes Louisiana Kitchen"":16,""KFC"":16,""Taco Bell"":15,""Kroger"":15,""White Castle"":15,""Dollar General"":15}","[13,5,3,1,1,1,3,5,3,6,7,7,10,13,16,11,10,6,4,8,11,17,19,16]","{""Monday"":12,""Tuesday"":8,""Wednesday"":3,""Thursday"":17,""Friday"":9,""Saturday"":4,""Sunday"":15}","{""android"":33,""ios"":7}",US
sg:9b77d464ad7f4922b1e5eeb54baa5bdd,Cadillac Lasalle Club Museum And Research,35105 W 13 Mile Rd,Farmington Hills,MI,48331,,1577836800,1580515200,20,9,"[2,2,1,2,0,0,0,1,1,1,0,1,0,1,0,0,1,1,0,0,2,0,0,0,1,0,0,0,1,1,1]",{},{},"{""US"":9}",7667,67.5,"{""<5"":0,""5-20"":4,""21-60"":4,""61-240"":7,"">240"":5}",{},"{""Tim Hortons"":33,""Checkers Drive-In Restaurants"":22,""AutoZone"":20,""T.J. Maxx"":20,""Kroger"":20,""BP"":19,""Sam's Club"":19,""Costco Wholesale Corp."":19,""The Home Depot"":18,""Dollar General"":17,""ABC Warehouse"":11,""Tubby's Grilled Submarines"":11,""Golfsmith"":11,""Bellacino's"":11,""Heinen's Grocery Stores"":11,""Fisher Auto Parts"":11,""Powerhouse Gym"":11,""Emagine Entertainment"":11,""Marc's"":11,""Four Points By Sheraton"":11}","[5,3,3,3,2,2,2,3,1,1,2,4,1,2,5,3,2,3,1,3,6,6,7,6]","{""Monday"":0,""Tuesday"":4,""Wednesday"":4,""Thursday"":4,""Friday"":3,""Saturday"":4,""Sunday"":1}","{""android"":0,""ios"":5}",US
sg:6c9cfec2fd86430196c9f78c5ba16bc5,Blue Vase Books,2048 M 137,Interlochen,MI,49643,,1577836800,1580515200,312,177,"[3,11,17,11,17,9,8,7,16,14,16,10,6,9,21,11,8,11,4,5,4,9,10,11,10,5,7,8,7,12,15]","{""260555504001"":13,""260555504002"":12,""260555504003"":11,""260555508001"":10,""260190001001"":9,""260555513002"":8,""260190001002"":6,""260555505004"":6,""260555506002"":5,""260190001003"":5}","{""260555507004"":10,""260555511002"":5,""260555504002"":5}","{""US"":170}",12456,21.5,"{""<5"":33,""5-20"":119,""21-60"":80,""61-240"":56,"">240"":24}","{""Mobil"":12,""PetSmart"":11,""McDonald's"":5}","{""Meijer"":55,""Menard's"":24,""Family Fare"":22,""Mobil"":20,""Shell Oil"":19,""Speedway"":19,""Burger King"":18,""Walmart"":18,""Target"":18,""Planet Fitness"":17,""McDonald's"":15,""Subway"":15,""Dollar General"":14,""Wendy's"":14,""Culver's"":13,""PetSmart"":13,""Taco Bell"":12,""The Home Depot"":12,""IMAX"":11,""Blain’s Farm & Fleet"":11}","[2,3,2,3,3,4,14,21,33,39,54,65,61,66,63,66,64,39,13,10,11,17,9,7]","{""Monday"":27,""Tuesday"":32,""Wednesday"":47,""Thursday"":60,""Friday"":62,""Saturday"":48,""Sunday"":36}","{""android"":97,""ios"":80}",US
sg:d52b35ee789446528f515ed04adf82ba,Bangor Plastics Inc,809 Washington St,Bangor,MI,49013,,1577836800,1580515200,212,37,"[5,6,2,4,5,5,7,8,10,6,5,7,5,11,5,11,7,7,7,11,8,10,11,3,4,7,10,5,5,10,5]","{""261590120002"":15,""261590120003"":9}",{},"{""US"":35}",521,183.5,"{""<5"":2,""5-20"":49,""21-60"":23,""61-240"":44,"">240"":94}","{""Walmart"":34,""United States Postal Service (USPS)"":28,""Biggby Coffee"":17}","{""Walmart"":27,""Meijer"":26,""Speedway"":25,""Subway"":23,""Harding's Friendly Market"":22,""Shell Oil"":21,""Marathon"":20,""McDonald's"":20,""Dollar General"":19,""Menard's"":18,""Dunham's Sports"":13,""Walgreens"":13,""Sunoco"":12,""American Job Centers"":11,""Ford Motor Company"":10,""Burger King"":9,""Arby's"":9,""Dollar Tree"":9,""Pri Mart"":8,""Biggby Coffee"":8}","[60,61,63,60,58,69,73,70,61,51,48,52,53,50,52,58,52,40,32,46,61,62,59,56]","{""Monday"":31,""Tuesday"":33,""Wednesday"":33,""Thursday"":48,""Friday"":21,""Saturday"":20,""Sunday"":26}","{""android"":26,""ios"":13}",US
